difficulty_level,level_name,feature_type,model,seed,fold,auc,mean_neg_dist_bio,n_unique_negatives,n_sampled,replacement_used,is_anchor
2,very_easy,biophysical,rf,0,2,0.8876240501511813,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,0,3,0.945081280375398,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,0,4,0.9449725448211546,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,0,0,0.8022311270244946,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,0,1,0.7929889005568549,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,0,2,0.7765821752531188,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,0,3,0.8023127199597787,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,0,4,0.8104442595047613,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,0,0,0.8962948400481863,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,0,1,0.9093928985319283,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,0,2,0.8744924033004764,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,0,3,0.9216147142617731,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,0,4,0.9159449139960771,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,1,0,0.8882578927985537,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,1,1,0.8534270753170274,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,1,2,0.8905747991967871,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,1,3,0.8907624173535574,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,1,4,0.8559824479131775,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,1,0,0.9425616860289933,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,1,1,0.9168994880717368,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,1,2,0.9322330990629184,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,1,3,0.9329377177244993,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,1,4,0.9084921618543579,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,1,0,0.7876226187686228,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,1,1,0.7829532907284102,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,1,2,0.7691348728246319,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,1,3,0.8144997720819166,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,1,4,0.7989967843505058,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,1,0,0.9191804211724531,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,1,1,0.8932729949476361,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,1,2,0.9145875167336011,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,1,3,0.908138557466722,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,1,4,0.8842868627319622,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,2,0,0.8958072813199223,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,2,1,0.8941667503094785,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,2,2,0.8905418743935488,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,2,3,0.8592299421389752,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,2,4,0.864607599171912,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,2,0,0.9389807825014116,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,2,1,0.9242488875506039,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,2,2,0.936544316927092,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,2,3,0.9061212194744395,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,2,4,0.9103448275862069,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,2,0,0.8295727818322495,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,2,1,0.8004826190237211,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,2,2,0.8240957606986316,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,2,3,0.791997355880864,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,2,4,0.7983647351581942,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,2,0,0.9208883126659836,4.43523,4886,2445,False,False
